Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes
Republican,Martha McSally,McSally,Martha,AZ,1135200,Arizona,2384308
Republican,Matthew Corey,Corey,Matthew,CT,545717,Connecticut,1386840
Republican,Robert B Arlett,Arlett,Robert,DE,137127,Delaware,362592
Republican,Rick Scott,Scott,Rick,FL,4099505,Florida,8190005
Republican,Ron Curtis,Curtis,Ron,HI,112035,Hawaii,388351
Republican,Mike Braun,Braun,Mike,IN,1158000,Indiana,2282565
Republican,Eric L. Brakey,Brakey,Eric,ME,223502,Maine,634409
Republican,Tony Campbell,Campbell,Tony,MD,697017,Maryland,2299889
Republican,Geoff Diehl,Diehl,Geoff,MA,979210,Massachusetts,2707090
Republican,John James,James,John,MI,1938818,Michigan,4237271
Republican,Jim Newberger,Newberger,Jim,MN,940437,Minnesota,5184235
Republican,Karin Housley,Housley,Karin,MN,1095777,Minnesota,5184235
Republican,Roger F. Wicker,Wicker,Roger,MS,547619,Mississippi,1843803
Republican,Cindy Hyde-Smith,Hyde-Smith,Cindy,MS,486769,Mississippi,1843803
Republican,Josh Hawley,Hawley,Josh,MO,1254927,Missouri,2442289
Republican,Matt Rosendale,Rosendale,Matt,MT,235963,Montana,504384
Republican,Deb Fischer,Fischer,Deb,NE,403151,Nebraska,698883
Republican,Dean Heller,Heller,Dean,NV,441202,Nevada,972132
Republican,Bob Hugin,Hugin,Bob,NJ,1357355,New Jersey,3169310
Republican,Mick Rich,Rich,Mick,NM,212813,New Mexico,697012
Republican,Chele Chiavacci Farley,Farley,Chele,NY,1730439,New York,6055151
Republican,Kevin Cramer,Cramer,Kevin,ND,179720,North Dakota,326138
Republican,Jim Renacci,Renacci,Jim,OH,2053963,Ohio,4410898
Republican,Louis J. Barletta,Barletta,Louis,PA,2134848,Pennsylvania,4994643
Republican,"Robert G. Flanders, Jr.",Jr.,Robert,RI,144421,Rhode Island,376738
Republican,Marsha Blackburn,Blackburn,Marsha,TN,1227483,Tennessee,2243740
Republican,Ted Cruz,Cruz,Ted,TX,4260553,Texas,8371655
Republican,Mitt Romney,Romney,Mitt,UT,665215,Utah,1062845
Republican,Lawrence Zupan,Zupan,Lawrence,VT,74663,Vermont,272624
Republican,Corey A. Stewart,Stewart,Corey,VA,1374313,Virginia,3351373
Republican,Susan Hutchison,Hutchison,Susan,WA,1282804,Washington,3086168
Republican,Patrick Morrisey,Morrisey,Patrick,WV,269872,West Virginia,582911
Republican,Leah Vukmir,Vukmir,Leah,WI,1184885,Wisconsin,2657841
Republican,John Barrasso,Barrasso,John,WY,136210,Wyoming,203420
