First_Name,Last_Name,State,Party_Name,Total_Raised,Full_Name,State_Abbrv,Party
Lamar,Alexander,Tennessee,Republican,8201067,Lamar Alexander,TN,R
Kelly,Ayotte,New Hampshire,Republican,8656729,Kelly Ayotte,NH,R
Tammy,Baldwin,Wisconsin,Democrat,16007429,Tammy Baldwin,WI,D
Mark,Begich,Alaska,Democrat,10977987,Mark Begich,AK,D
Richard,Blumenthal,Connecticut,Democrat,10173295,Richard Blumenthal,CT,D
Roy,Blunt,Missouri,Republican,16022045,Roy Blunt,MO,R
Cory,Booker,New Jersey,Democrat,17718139,Cory Booker,NJ,D
John,Boozman,Arkansas,Republican,4421143,John Boozman,AR,R
Barbara,Boxer,California,Democrat,13906926,Barbara Boxer,CA,D
Sherrod,Brown,Ohio,Democrat,25406082,Sherrod Brown,OH,D
Richard,Burr,North Carolina,Republican,8910533,Richard Burr,NC,R
Maria,Cantwell,Washington,Democrat,12684881,Maria Cantwell,WA,D
Ben,Cardin,Maryland,Democrat,6838962,Ben Cardin,MD,D
Tom,Carper,Delaware,Democrat,4929191,Tom Carper,DE,D
Bob,Casey,Pennsylvania,Democrat,14681759,Bob Casey,PA,D
Saxby,Chambliss,Georgia,Republican,2457357,Saxby Chambliss,GA,R
Dan,Coats,Indiana,Republican,6250908,Dan Coats,IN,R
Tom,Coburn,Oklahoma,Republican,2104355,Tom Coburn,OK,R
Thad,Cochran,Mississippi,Republican,7388054,Thad Cochran,MS,R
Susan,Collins,Maine,Republican,6228159,Susan Collins,ME,R
Chris,Coons,Delaware,Democrat,9676246,Chris Coons,DE,D
Bob,Corker,Tennessee,Republican,12590156,Bob Corker,TN,R
John,Cornyn,Texas,Republican,17223563,John Cornyn,TX,R
Mike,Crapo,Idaho,Republican,5285184,Mike Crapo,ID,R
Ted,Cruz,Texas,Republican,18383145,Ted Cruz,TX,R
Joe,Donnelly,Indiana,Democrat,6797423,Joe Donnelly,IN,D
Dick,Durbin,Illinois,Democrat,10320048,Dick Durbin,IL,D
Mike,Enzi,Wyoming,Republican,3772045,Mike Enzi,WY,R
Dianne,Feinstein,California,Democrat,11887918,Dianne Feinstein,CA,D
Deb,Fischer,Nebraska,Republican,5831027,Deb Fischer,NE,R
Jeff,Flake,Arizona,Republican,9504266,Jeff Flake,AZ,R
Al,Franken,Minnesota,Democrat,30770856,Al Franken,MN,D
Kirsten,Gillibrand,New York,Democrat,30322285,Kirsten Gillibrand,NY,D
Lindsey,Graham,South Carolina,Republican,11056889,Lindsey Graham,SC,R
Chuck,Grassley,Iowa,Republican,6752465,Chuck Grassley,IA,R
Tom,Harkin,Iowa,Democrat,2582782,Tom Harkin,IA,D
Martin,Heinrich,New Mexico,Democrat,7311487,Martin Heinrich,NM,D
Heidi,Heitkamp,North Dakota,Democrat,6530709,Heidi Heitkamp,ND,D
Dean,Heller,Nevada,Republican,10296690,Dean Heller,NV,R
John,Hoeven,North Dakota,Democrat,4696671,John Hoeven,ND,D
Johnny,Isakson,Georgia,Republican,9422559,Johnny Isakson,GA,R
Mike,Johanns,Nebraska,Republican,716208,Mike Johanns,NE,R
Ron,Johnson,Wisconsin,Republican,18631193,Ron Johnson,WI,R
Tim,Johnson,South Dakota,Democrat,1622563,Tim Johnson,SD,D
Tim,Kaine,Virginia,Democrat,19044379,Tim Kaine,VA,D
Angus,King,Maine,Independent/Other,3098168,Angus King,ME,I
Mark,Kirk,Illinois,Republican,17966562,Mark Kirk,IL,R
Amy,Klobuchar,Minnesota,Democrat,10070791,Amy Klobuchar,MN,D
Patrick,Leahy,Vermont,Democrat,4583423,Patrick Leahy,VT,D
Mike,Lee,Utah,Republican,3860376,Mike Lee,UT,R
Carl,Levin,Michigan,Democrat,116028,Carl Levin,MI,D
Joe,Manchin,West Virginia,Democrat,9949737,Joe Manchin,WV,D
Ed,Markey,Massachusetts,Democrat,18624052,Ed Markey,MA,D
CainJohn,McCain,Arizona,Republican,21581038,John McCain,AZ,R
CaskillClaire,McCaskill,Missouri,Democrat,21055467,Claire McCaskill,MO,D
ConnellMitch,McConnell,Kentucky,Republican,30845825,Mitch McConnell,KY,R
Robert,Menendez,New Jersey,Democrat,16754724,Robert Menendez,NJ,D
Jeff,Merkley,Oregon,Democrat,12018377,Jeff Merkley,OR,D
Jerry,Moran,Kansas,Republican,6392794,Jerry Moran,KS,R
Lisa,Murkowski,Alaska,Republican,5811798,Lisa Murkowski,AK,R
Patty,Murray,Washington,Democrat,16694426,Patty Murray,WA,D
Bill,Nelson,Florida,Democrat,16172400,Bill Nelson,FL,D
Rand,Paul,Kentucky,Republican,14009888,Rand Paul,KY,R
Rob,Portman,Ohio,Republican,19137106,Rob Portman,OH,R
Mark,Pryor,Arkansas,Democrat,12528098,Mark Pryor,AR,D
Jack,Reed,Rhode Island,Democrat,3960335,Jack Reed,RI,D
Harry,Reid,Nevada,Democrat,23812691,Harry Reid,NV,D
Pat,Roberts,Kansas,Republican,8040544,Pat Roberts,KS,R
Jay,Rockefeller,West Virginia,Democrat,1044452,Jay Rockefeller,WV,D
Marco,Rubio,Florida,Republican,30554421,Marco Rubio,FL,R
Bernie,Sanders,Vermont,Independent/Other,8173915,Bernie Sanders,VT,I
Brian,Schatz,Hawaii,Democrat,6109936,Brian Schatz,HI,D
Tim,Scott,South Carolina,Republican,6809517,Tim Scott,SC,R
Jeff,Sessions,Alabama,Republican,1712253,Jeff Sessions,AL,R
Jeanne,Shaheen,New Hampshire,Democrat,16515174,Jeanne Shaheen,NH,D
Debbie,Stabenow,Michigan,Democrat,14161784,Debbie Stabenow,MI,D
Jon,Tester,Montana,Democrat,13930410,Jon Tester,MT,D
John,Thune,South Dakota,Democrat,11985182,John Thune,SD,D
Pat,Toomey,Pennsylvania,Republican,26610308,Pat Toomey,PA,R
Tom,Udall,New Mexico,Democrat,8441116,Tom Udall,NM,D
Mark,Udall,Colorado,Democrat,20559471,Mark Udall,CO,D
David,Vitter,Louisiana,Republican,11438682,David Vitter,LA,R
John,Walsh,Montana,Democrat,2997260,John Walsh,MT,D
Mark,Warner,Virginia,Democrat,17098544,Mark Warner,VA,D
Elizabeth,Warren,Massachusetts,Democrat,45964247,Elizabeth Warren,MA,D
Sheldon,Whitehouse,Rhode Island,Democrat,4816336,Sheldon Whitehouse,RI,D
Roger,Wicker,Mississippi,Republican,4599017,Roger Wicker,MS,R
Ron,Wyden,Oregon,Democrat,9808752,Ron Wyden,OR,D
John A.,Barrasso,Wyoming,Republican,5379607,John A. Barrasso,WY,R
Michael F.,Bennet,Colorado,Democrat,15760874,Michael F. Bennet,CO,D
Kay R.,Hagan,North Carolina,Democrat,24849812,Kay R. Hagan,NC,D
Orrin G.,Hatch,Utah,Republican,11510331,Orrin G. Hatch,UT,R
Mazie K.,Hirono,Hawaii,Democrat,6152466,Mazie K. Hirono,HI,D
James M.,Inhofe,Oklahoma,Republican,4841285,James M. Inhofe,OK,R
Mary L.,Landrieu,Louisiana,Democrat,20015536,Mary L. Landrieu,LA,D
Barbara A.,Mikulski,Maryland,Democrat,5304361,Barbara A. Mikulski,MD,D
Christopher S.,Murphy,Connecticut,Democrat,11197394,Christopher S. Murphy,CT,D
James E.,Risch,Idaho,Republican,2902855,James E. Risch,ID,R
Charles E.,Schumer,New York,Democrat,25578359,Charles E. Schumer,NY,D
Richard C.,Shelby,Alabama,Republican,6734614,Richard C. Shelby,AL,R
