Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes
Republican,Richard C. Shelby,Shelby,Richard,AL,1335104,Alabama,2087444
Republican,Lisa Murkowski,Murkowski,Lisa,AK,138149,Alaska,311441
Republican,Sydney Dudikoff,Dudikoff,Sydney,AZ,494,Arizona,2530730
Republican,John McCain,McCain,John,AZ,1359267,Arizona,2530730
Republican,John Boozman,Boozman,John,AR,661984,Arkansas,1107522
Republican,Darryl Glenn,Glenn,Darryl,CO,1215318,Colorado,2743023
Republican,Dan Carter,Carter,Dan,CT,552621,Connecticut,1596276
Republican,Marco Rubio,Rubio,Marco,FL,4835191,Florida,9301820
Republican,Johnny Isakson,Isakson,Johnny,GA,2135806,Georgia,3898605
Republican,John Carroll,Carroll,John,HI,92653,Hawaii,437664
Republican,Mike Crapo,Crapo,Mike,ID,449017,Idaho,678943
Republican,Mark Kirk,Kirk,Mark,IL,2184692,Illinois,5491878
Republican,Todd C. Young,Young,Todd,IN,1423991,Indiana,2732546
Republican,Chuck Grassley,Grassley,Chuck,IA,926007,Iowa,1541036
Republican,Jerry Moran,Moran,Jerry,KS,732376,Kansas,1177922
Republican,Rand Paul,Paul,Rand,KY,1090177,Kentucky,1903465
Republican,"Charles W. Boustany, Jr.",Jr.,Charles,LA,298008,Louisiana,1997218
Republican,John Fleming,Fleming,John,LA,204026,Louisiana,1997218
Republican,"""Rob"" Maness",Maness,"""Rob""",LA,90856,Louisiana,1997218
Republican,John Kennedy,Kennedy,John,LA,536191,Louisiana,1997218
Republican,Abhay Patel,Patel,Abhay,LA,1576,Louisiana,1997218
Republican,"""Joseph"" Cao",Cao,"""Joseph""",LA,21019,Louisiana,1997218
Republican,David Duke,Duke,David,LA,58606,Louisiana,1997218
Republican,"Donald ""Crawdaddy"" Crawford",Crawford,Donald,LA,25523,Louisiana,1997218
Republican,Charles Marsala,Marsala,Charles,LA,3684,Louisiana,1997218
Republican,Kathy Szeliga,Szeliga,Kathy,MD,972557,Maryland,2726170
Republican,Roy Blunt,Blunt,Roy,MO,1378458,Missouri,2802641
Republican,Joseph J. Heck,Heck,Joseph,NV,495079,Nevada,1108294
Republican,Kelly Ayotte,Ayotte,Kelly,NH,353632,New Hampshire,739140
Republican,Wendy Long,Long,Wendy,NY,1723927,New York,7800725
Republican,Richard Burr,Burr,Richard,NC,2395376,North Carolina,4691133
Republican,John Hoeven,Hoeven,John,ND,268788,North Dakota,342501
Republican,Rob Portman,Portman,Rob,OH,3118567,Ohio,5374164
Republican,James Lankford,Lankford,James,OK,980892,Oklahoma,1448047
Republican,Mark Callahan,Callahan,Mark,OR,651106,Oregon,1952478
Republican,Patrick J. Toomey,Toomey,Patrick,PA,2951702,Pennsylvania,6051856
Republican,Tim Scott,Scott,Tim,SC,1241609,South Carolina,2049893
Republican,John R. Thune,Thune,John,SD,265516,South Dakota,369656
Republican,Mike Lee,Lee,Mike,UT,760220,Utah,1115583
Republican,Scott Milne,Milne,Scott,VT,103637,Vermont,320467
Republican,Chris Vance,Vance,Chris,WA,1329338,Washington,3243317
Republican,Ron Johnson,Johnson,Ron,WI,1479471,Wisconsin,2948741
