Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes
Democrat,Mark Begich,Begich,Mark,AK,129431,Alaska,282400
Democrat,Mark L. Pryor,Pryor,Mark,AR,334174,Arkansas,847505
Democrat,Mark Udall,Udall,Mark,CO,944203,Colorado,2041058
Democrat,Christopher A. Coons,Coons,Christopher,DE,130655,Delaware,234038
Democrat,M. Michelle Nunn,Nunn,M.,GA,1160811,Georgia,2567805
Democrat,Brian Schatz,Schatz,Brian,HI,246827,Hawaii,369703
Democrat,Nels Mitchell,Mitchell,Nels,ID,151574,Idaho,437170
Democrat,Richard J. Durbin,Durbin,Richard,IL,1929637,Illinois,3603519
Democrat,Bruce Braley,Braley,Bruce,IA,494370,Iowa,1129700
Democrat,Alison Lundergan Grimes,Grimes,Alison,KY,584698,Kentucky,1435868
Democrat,Wayne Ables,Ables,Wayne,LA,11323,Louisiana,3523183
Democrat,Vallian Senegal,Senegal,Vallian,LA,3835,Louisiana,3523183
Democrat,William P. Waymire Jr.,Jr.,William,LA,4673,Louisiana,3523183
Democrat,Mary L. Landrieu,Landrieu,Mary,LA,1561210,Louisiana,3523183
Democrat,Shenna Bellows,Bellows,Shenna,ME,190254,Maine,616996
Democrat,Edward J. Markey,Markey,Edward,MA,1289944,Massachusetts,2186789
Democrat,Gary C. Peters,Peters,Gary,MI,1704936,Michigan,3121771
Democrat,Al Franken,Franken,Al,MN,1053205,Minnesota,1981528
Democrat,Travis W. Childers,Childers,Travis,MS,239439,Mississippi,631858
Democrat,Amanda Curtis,Curtis,Amanda,MT,148184,Montana,369826
Democrat,Dave Domina,Domina,Dave,NE,170127,Nebraska,540337
Democrat,Jeanne Shaheen,Shaheen,Jeanne,NH,251184,New Hampshire,488159
Democrat,Cory A. Booker,Booker,Cory,NJ,1043866,New Jersey,1869535
Democrat,Tom Udall,Udall,Tom,NM,286409,New Mexico,515506
Democrat,Kay R. Hagan,Hagan,Kay,NC,1377651,North Carolina,2915281
Democrat,Connie Johnson,Johnson,Connie,OK,237923,Oklahoma,820890
Democrat,Matt Silverstein,Silverstein,Matt,OK,234307,Oklahoma,820733
Democrat,Jeff Merkley,Merkley,Jeff,OR,814537,Oregon,1461618
Democrat,Jack Reed,Reed,Jack,RI,223675,Rhode Island,316898
Democrat,Brad Hutto,Hutto,Brad,SC,456726,South Carolina,1240075
Democrat,Joyce Dickerson,Dickerson,Joyce,SC,459583,South Carolina,1238982
Democrat,Rick Weiland,Weiland,Rick,SD,82456,South Dakota,279412
Democrat,Gordon Ball,Ball,Gordon,TN,437848,Tennessee,1374065
Democrat,David M. Alameel,Alameel,David,TX,1597387,Texas,4648358
Democrat,Mark R. Warner,Warner,Mark,VA,1073667,Virginia,2184473
Democrat,Natalie Tennant,Tennant,Natalie,WV,156360,West Virginia,453689
Democrat,Charlie Hardy,Hardy,Charlie,WY,29377,Wyoming,171153
