First_Name,Last_Name,State,Party_Name,Total_Raised,Full_Name,State_Abbrv,Party
Steven,Daines,Montana,Republican,7920197,Steven Daines,MT,R
Joe,Donnelly,Indiana,Democrat,8289669,Joe Donnelly,IN,D
Dick,Durbin,Illinois,Democrat,10474952,Dick Durbin,IL,D
Mike,Enzi,Wyoming,Republican,3661038,Mike Enzi,WY,R
Joni,Ernst,Iowa,Republican,12884110,Joni Ernst,IA,R
Dianne,Feinstein,California,Democrat,12701760,Dianne Feinstein,CA,D
Deb,Fischer,Nebraska,Republican,7096399,Deb Fischer,NE,R
Jeff,Flake,Arizona,Republican,10318416,Jeff Flake,AZ,R
Al,Franken,Minnesota,Democrat,27492595,Al Franken,MN,D
Cory,Gardner,Colorado,Republican,12843925,Cory Gardner,CO,R
Kirsten,Gillibrand,New York,Democrat,18214086,Kirsten Gillibrand,NY,D
Chuck,Grassley,Iowa,Republican,9828566,Chuck Grassley,IA,R
Orrin,Hatch,Utah,Republican,11796080,Orrin G Hatch,UT,R
Martin,Heinrich,New Mexico,Democrat,8896778,Martin Heinrich,NM,D
Heidi,Heitkamp,North Dakota,Democrat,7592634,Heidi Heitkamp,ND,D
Dean,Heller,Nevada,Republican,11909056,Dean Heller,NV,R
Mazie,Hirono,Hawaii,Democrat,7138539,Mazie K Hirono,HI,D
John,Hoeven,North Dakota,Democrat,3797124,John Hoeven,ND,D
James,Inhofe,Oklahoma,Republican,4912855,James M Inhofe,OK,R
Johnny,Isakson,Georgia,Republican,11018641,Johnny Isakson,GA,R
Ron,Johnson,Wisconsin,Republican,20308835,Ron Johnson,WI,R
Tim,Kaine,Virginia,Democrat,22815221,Tim Kaine,VA,D
Angus,King,Maine,Independent/Other,3558325,Angus King,ME,I
Mark,Kirk,Illinois,Republican,11973173,Mark Kirk,IL,R
Amy,Klobuchar,Minnesota,Democrat,9858582,Amy Klobuchar,MN,D
James,Lankford,Oklahoma,Republican,7243412,James Lankford,OK,R
Patrick,Leahy,Vermont,Democrat,4770988,Patrick Leahy,VT,D
Mike,Lee,Utah,Republican,5855489,Mike Lee,UT,R
Joe,Manchin,West Virginia,Democrat,5741086,Joe Manchin,WV,D
Ed,Markey,Massachusetts,Democrat,19068228,Ed Markey,MA,D
John,McCain,Arizona,Republican,14796428,John McCain,AZ,R
Claire,McCaskill,Missouri,Democrat,20532222,Claire McCaskill,MO,D
Mitch,McConnell,Kentucky,Republican,30167647,Mitch McConnell,KY,R
Robert,Menendez,New Jersey,Democrat,14958912,Robert Menendez,NJ,D
Jeff,Merkley,Oregon,Democrat,11918480,Jeff Merkley,OR,D
Barbara,Mikulski,Maryland,Democrat,1150484,Barbara A Mikulski,MD,D
Jerry,Moran,Kansas,Republican,6617848,Jerry Moran,KS,R
Lisa,Murkowski,Alaska,Republican,6058418,Lisa Murkowski,AK,R
Christopher,Murphy,Connecticut,Democrat,13084020,Christopher S Murphy,CT,D
Patty,Murray,Washington,Democrat,13524088,Patty Murray,WA,D
Bill,Nelson,Florida,Democrat,14929609,Bill Nelson,FL,D
None,None,South Carolina,Independent/Other,10235206,None None,SC,I
Rand,Paul,Kentucky,Republican,11053205,Rand Paul,KY,R
David,Perdue,Georgia,Republican,14642696,David Perdue,GA,R
Gary,Peters,Michigan,Democrat,10815379,Gary Peters,MI,D
Rob,Portman,Ohio,Republican,25428561,Rob Portman,OH,R
Jack,Reed,Rhode Island,Democrat,4057689,Jack Reed,RI,D
Harry,Reid,Nevada,Democrat,3624597,Harry Reid,NV,D
James,Risch,Idaho,Republican,2568733,James E Risch,ID,R
Pat,Roberts,Kansas,Republican,8243617,Pat Roberts,KS,R
Mike,Rounds,South Dakota,Democrat,5520677,Mike Rounds,SD,D
Marco,Rubio,Florida,Republican,25254738,Marco Rubio,FL,R
Bernie,Sanders,Vermont,Democrat,1247909,Bernie Sanders,VT,D
Ben,Sasse,Nebraska,Republican,7502700,Ben Sasse,NE,R
Brian,Schatz,Hawaii,Democrat,9841175,Brian Schatz,HI,D
Charles,Schumer,New York,Democrat,24865827,Charles E Schumer,NY,D
Tim,Scott,South Carolina,Republican,12794494,Tim Scott,SC,R
Jeff,Sessions,Alabama,Republican,1762236,Jeff Sessions,AL,R
Jeanne,Shaheen,New Hampshire,Democrat,16508413,Jeanne Shaheen,NH,D
Richard,Shelby,Alabama,Republican,4890271,Richard C Shelby,AL,R
Debbie,Stabenow,Michigan,Democrat,14856681,Debbie Stabenow,MI,D
Dan,Sullivan,Alaska,Republican,8195523,Dan Sullivan,AK,R
Jon,Tester,Montana,Democrat,14254215,Jon Tester,MT,D
John,Thune,South Dakota,Democrat,10524094,John Thune,SD,D
Thom,Tillis,North Carolina,Republican,11563094,Thom Tillis,NC,R
Pat,Toomey,Pennsylvania,Republican,30841274,Pat Toomey,PA,R
Tom,Udall,New Mexico,Democrat,8744457,Tom Udall,NM,D
David,Vitter,Louisiana,Republican,2899218,David Vitter,LA,R
Mark,Warner,Virginia,Democrat,16786930,Mark Warner,VA,D
Elizabeth,Warren,Massachusetts,Democrat,51431099,Elizabeth Warren,MA,D
Sheldon,Whitehouse,Rhode Island,Democrat,4528600,Sheldon Whitehouse,RI,D
Roger,Wicker,Mississippi,Republican,3832084,Roger Wicker,MS,R
Ron,Wyden,Oregon,Democrat,12628463,Ron Wyden,OR,D
