First_Name,Last_Name,State,Party_Name,Total_Raised,Full_Name,State_Abbrv,Party
Lamar,Alexander,Tennessee,Republican,7976089,Lamar Alexander,TN,R
Kelly,Ayotte,New Hampshire,Republican,18428000,Kelly Ayotte,NH,R
Tammy,Baldwin,Wisconsin,Democrat,18657971,Tammy Baldwin,WI,D
John,Barrasso,Wyoming,Republican,5807201,John A Barrasso,WY,R
Michael,Bennet,Colorado,Democrat,17801104,Michael F Bennet,CO,D
Richard,Blumenthal,Connecticut,Democrat,8825840,Richard Blumenthal,CT,D
Roy,Blunt,Missouri,Republican,15893492,Roy Blunt,MO,R
Cory,Booker,New Jersey,Democrat,20292875,Cory Booker,NJ,D
John,Boozman,Arkansas,Republican,4888821,John Boozman,AR,R
Barbara,Boxer,California,Democrat,690527,Barbara Boxer,CA,D
Sherrod,Brown,Ohio,Democrat,26808891,Sherrod Brown,OH,D
Richard,Burr,North Carolina,Republican,12904555,Richard Burr,NC,R
Maria,Cantwell,Washington,Democrat,11691083,Maria Cantwell,WA,D
ShelleyMoore,Capito,West Virginia,Republican,7893562,ShelleyMoore Capito,WV,R
Ben,Cardin,Maryland,Democrat,6480656,Ben Cardin,MD,D
Tom,Carper,Delaware,Democrat,4603049,Tom Carper,DE,D
Bob,Casey,Pennsylvania,Democrat,14789447,Bob Casey,PA,D
Bill,Cassidy,Louisiana,Republican,16699969,Bill Cassidy,LA,R
Dan,Coats,Indiana,Republican,1123660,Dan Coats,IN,R
Thad,Cochran,Mississippi,Republican,8211699,Thad Cochran,MS,R
Susan,Collins,Maine,Republican,6186833,Susan Collins,ME,R
Chris,Coons,Delaware,Democrat,6147380,Chris Coons,DE,D
Bob,Corker,Tennessee,Republican,11380786,Bob Corker,TN,R
John,Cornyn,Texas,Republican,15900956,John Cornyn,TX,R
Tom,Cotton,Arkansas,Republican,14784852,Tom Cotton,AR,R
Mike,Crapo,Idaho,Republican,5875081,Mike Crapo,ID,R
Ted,Cruz,Texas,Republican,24586001,Ted Cruz,TX,R
