Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes
Democrat,Kyrsten Sinema,Sinema,Kyrsten,AZ,1191100,Arizona,2384308
Democrat,Dianne Feinstein,Feinstein,Dianne,CA,6019422,California,11113364
Democrat,Kevin De Leon,Leon,Kevin,CA,5093942,California,11113364
Democrat,Christopher S Murphy,Murphy,Christopher,CT,787685,Connecticut,1386840
Democrat,Thomas R Carper,Carper,Thomas,DE,217385,Delaware,362592
Democrat,Bill Nelson,Nelson,Bill,FL,4089472,Florida,8190005
Democrat,Mazie K. Hirono,Hirono,Mazie,HI,276316,Hawaii,388351
Democrat,Joe Donnelly,Donnelly,Joe,IN,1023553,Indiana,2282565
Democrat,Zak Ringelstein,Ringelstein,Zak,ME,66268,Maine,634409
Democrat,Ben Cardin,Cardin,Ben,MD,1491614,Maryland,2299889
Democrat,Elizabeth A. Warren,Warren,Elizabeth,MA,1633371,Massachusetts,2707090
Democrat,Debbie Stabenow,Stabenow,Debbie,MI,2214478,Michigan,4237271
Democrat,David Baria,Baria,David,MS,369567,Mississippi,1843803
Democrat,Mike Espy,Espy,Mike,MS,420819,Mississippi,1843803
Democrat,Claire McCaskill,McCaskill,Claire,MO,1112935,Missouri,2442289
Democrat,Jon Tester,Tester,Jon,MT,253876,Montana,504384
Democrat,Jane Raybould,Raybould,Jane,NE,269917,Nebraska,698883
Democrat,Jacky Rosen,Rosen,Jacky,NV,490071,Nevada,972132
Democrat,Robert Menendez,Menendez,Robert,NJ,1711654,New Jersey,3169310
Democrat,Martin T Heinrich,Heinrich,Martin,NM,376998,New Mexico,697012
Democrat,Kirsten E. Gillibrand,Gillibrand,Kirsten,NY,3755489,New York,6055151
Democrat,Sherrod Brown,Brown,Sherrod,OH,2355923,Ohio,4410898
Democrat,Robert P Casey Jr,Jr,Robert,PA,2777680,Pennsylvania,4994643
Democrat,Sheldon Whitehouse,Whitehouse,Sheldon,RI,231477,Rhode Island,376738
Democrat,Phil Bredesen,Bredesen,Phil,TN,985450,Tennessee,2243740
Democrat,Beto O'Rourke,O'Rourke,Beto,TX,4045632,Texas,8371655
Democrat,Jenny Wilson,Wilson,Jenny,UT,328541,Utah,1062845
Democrat,Timothy M. Kaine,Kaine,Timothy,VA,1910370,Virginia,3351373
Democrat,Maria Cantwell,Cantwell,Maria,WA,1803364,Washington,3086168
Democrat,Joe Manchin,Manchin,Joe,WV,288808,West Virginia,582911
Democrat,Tammy Baldwin,Baldwin,Tammy,WI,1472914,Wisconsin,2657841
Democrat,Gary Trauner,Trauner,Gary,WY,61227,Wyoming,203420
