"Representative","Office Running For","Total Raised"
"WarrenElizabeth Warren (D-Mass) ","Massachusetts Senate","$51431099"
"ToomeyPat Toomey (R-Pa)*","Pennsylvania Senate","$30841274"
"McConnellMitch McConnell (R-Ky) ","Kentucky Senate","$30167647"
"FrankenAl Franken (D-Minn) ","Minnesota Senate","$27492595"
"BrownSherrod Brown (D-Ohio) ","Ohio Senate","$26808891"
"PortmanRob Portman (R-Ohio)*","Ohio Senate","$25428561"
"RubioMarco Rubio (R-Fla)*","Florida Senate","$25254738"
"SchumerCharles E Schumer (D-NY)*","New York Senate","$24865827"
"CruzTed Cruz (R-Texas) ","Texas Senate","$24586001"
"KaineTim Kaine (D-Va) ","Virginia Senate","$22815221"
"McCaskillClaire McCaskill (D-Mo) ","Missouri Senate","$20532222"
"JohnsonRon Johnson (R-Wis)*","Wisconsin Senate","$20308835"
"BookerCory Booker (D-NJ) ","New Jersey Senate","$20292875"
"MarkeyEd Markey (D-Mass) ","Massachusetts Senate","$19068228"
"BaldwinTammy Baldwin (D-Wis) ","Wisconsin Senate","$18657971"
"AyotteKelly Ayotte (R-NH)*","New Hampshire Senate","$18428000"
"GillibrandKirsten Gillibrand (D-NY) ","New York Senate","$18214086"
"BennetMichael F Bennet (D-Colo)*","Colorado Senate","$17801104"
"WarnerMark Warner (D-Va) ","Virginia Senate","$16786930"
"CassidyBill Cassidy (R-La) ","Louisiana Senate","$16699969"
"ShaheenJeanne Shaheen (D-NH) ","New Hampshire Senate","$16508413"
"CornynJohn Cornyn (R-Texas) ","Texas Senate","$15900956"
"BluntRoy Blunt (R-Mo)*","Missouri Senate","$15893492"
"MenendezRobert Menendez (D-NJ) ","New Jersey Senate","$14958912"
"NelsonBill Nelson (D-Fla) ","Florida Senate","$14929609"
"StabenowDebbie Stabenow (D-Mich) ","Michigan Senate","$14856681"
"McCainJohn McCain (R-Ariz)*","Arizona Senate","$14796428"
"CaseyBob Casey (D-Pa) ","Pennsylvania Senate","$14789447"
"CottonTom Cotton (R-Ark) ","Arkansas Senate","$14784852"
"PerdueDavid Perdue (R-Ga) ","Georgia Senate","$14642696"
"TesterJon Tester (D-Mont) ","Montana Senate","$14254215"
"MurrayPatty Murray (D-Wash)*","Washington Senate","$13524088"
"MurphyChristopher S Murphy (D-Conn) ","Connecticut Senate","$13084020"
"BurrRichard Burr (R-NC)*","North Carolina Senate","$12904555"
"ErnstJoni Ernst (R-Iowa) ","Iowa Senate","$12884110"
"GardnerCory Gardner (R-Colo) ","Colorado Senate","$12843925"
"ScottTim Scott (R-SC)*","South Carolina Senate","$12794494"
"FeinsteinDianne Feinstein (D-Calif) ","California Senate","$12701760"
"WydenRon Wyden (D-Ore)*","Oregon Senate","$12628463"
"KirkMark Kirk (R-Ill)*","Illinois Senate","$11973173"
"MerkleyJeff Merkley (D-Ore) ","Oregon Senate","$11918480"
"HellerDean Heller (R-Nev) ","Nevada Senate","$11909056"
"HatchOrrin G Hatch (R-Utah) ","Utah Senate","$11796080"
"CantwellMaria Cantwell (D-Wash) ","Washington Senate","$11691083"
"TillisThom Tillis (R-NC) ","North Carolina Senate","$11563094"
"CorkerBob Corker (R-Tenn) ","Tennessee Senate","$11380786"
"PaulRand Paul (R-Ky)*","Kentucky Senate","$11053205"
"IsaksonJohnny Isakson (R-Ga)*","Georgia Senate","$11018641"
"PetersGary Peters (D-Mich) ","Michigan Senate","$10815379"
"ThuneJohn Thune (R-SD)*","South Dakota Senate","$10524094"
"DurbinDick Durbin (D-Ill) ","Illinois Senate","$10474952"
"FlakeJeff Flake (R-Ariz) ","Arizona Senate","$10318416"
"/members-of-congress/summary?cid=N00009975&cycle=2016 ","South Carolina Senate","$10235206"
"KlobucharAmy Klobuchar (D-Minn) ","Minnesota Senate","$9858582"
"SchatzBrian Schatz (D-Hawaii)*","Hawaii Senate","$9841175"
"GrassleyChuck Grassley (R-Iowa)*","Iowa Senate","$9828566"
"HeinrichMartin Heinrich (D-NM) ","New Mexico Senate","$8896778"
"BlumenthalRichard Blumenthal (D-Conn)*","Connecticut Senate","$8825840"
"UdallTom Udall (D-NM) ","New Mexico Senate","$8744457"
"DonnellyJoe Donnelly (D-Ind) ","Indiana Senate","$8289669"
"RobertsPat Roberts (R-Kan) ","Kansas Senate","$8243617"
"CochranThad Cochran (R-Miss) ","Mississippi Senate","$8211699"
"SullivanDan Sullivan (R-Alaska) ","Alaska Senate","$8195523"
"AlexanderLamar Alexander (R-Tenn) ","Tennessee Senate","$7976089"
"DainesSteven Daines (R-Mont) ","Montana Senate","$7920197"
"CapitoShelley Moore Capito (R-WVa) ","West Virginia Senate","$7893562"
"HeitkampHeidi Heitkamp (D-ND) ","North Dakota Senate","$7592634"
"SasseBen Sasse (R-Neb) ","Nebraska Senate","$7502700"
"LankfordJames Lankford (R-Okla)*","Oklahoma Senate","$7243412"
"HironoMazie K Hirono (D-Hawaii) ","Hawaii Senate","$7138539"
"FischerDeb Fischer (R-Neb) ","Nebraska Senate","$7096399"
"MoranJerry Moran (R-Kan)*","Kansas Senate","$6617848"
"CardinBen Cardin (D-Md) ","Maryland Senate","$6480656"
"CollinsSusan Collins (R-Maine) ","Maine Senate","$6186833"
"CoonsChris Coons (D-Del) ","Delaware Senate","$6147380"
"MurkowskiLisa Murkowski (R-Alaska)*","Alaska Senate","$6058418"
"CrapoMike Crapo (R-Idaho)*","Idaho Senate","$5875081"
"LeeMike Lee (R-Utah)*","Utah Senate","$5855489"
"BarrassoJohn A Barrasso (R-Wyo) ","Wyoming Senate","$5807201"
"ManchinJoe Manchin (D-WVa) ","West Virginia Senate","$5741086"
"RoundsMike Rounds (R-SD) ","South Dakota Senate","$5520677"
"InhofeJames M Inhofe (R-Okla) ","Oklahoma Senate","$4912855"
"ShelbyRichard C Shelby (R-Ala)*","Alabama Senate","$4890271"
"BoozmanJohn Boozman (R-Ark)*","Arkansas Senate","$4888821"
"LeahyPatrick Leahy (D-Vt)*","Vermont Senate","$4770988"
"CarperTom Carper (D-Del) ","Delaware Senate","$4603049"
"WhitehouseSheldon Whitehouse (D-RI) ","Rhode Island Senate","$4528600"
"ReedJack Reed (D-RI) ","Rhode Island Senate","$4057689"
"WickerRoger Wicker (R-Miss) ","Mississippi Senate","$3832084"
"HoevenJohn Hoeven (R-ND)*","North Dakota Senate","$3797124"
"EnziMike Enzi (R-Wyo) ","Wyoming Senate","$3661038"
"ReidHarry Reid (D-Nev)*","Nevada Senate","$3624597"
"KingAngus King (I-Maine) ","Maine Senate","$3558325"
"VitterDavid Vitter (R-La)*","Louisiana Senate","$2899218"
"RischJames E Risch (R-Idaho) ","Idaho Senate","$2568733"
"SessionsJeff Sessions (R-Ala) ","Alabama Senate","$1762236"
"SandersBernie Sanders (D)*","2016 Presidential RaceCurrent office: Vermont Senate","$1247909"
"MikulskiBarbara A Mikulski (D-Md)*","Maryland Senate","$1150484"
"CoatsDan Coats (R-Ind)*","Indiana Senate","$1123660"
"BoxerBarbara Boxer (D-Calif)*","California Senate","$690527"
