"Representative","Office Running For","Total Raised"
"CruzTed Cruz (R-Texas)*","Texas Senate","$45260806"
"McCaskillClaire McCaskill (D-Mo)*","Missouri Senate","$38934452"
"WarrenElizabeth Warren (D-Mass)*","Massachusetts Senate","$34897111"
"NelsonBill Nelson (D-Fla)*","Florida Senate","$33628769"
"HeitkampHeidi Heitkamp (D-ND)*","North Dakota Senate","$31025854"
"BaldwinTammy Baldwin (D-Wis)*","Wisconsin Senate","$30898416"
"ToomeyPat Toomey (R-Pa) ","Pennsylvania Senate","$30638133"
"BrownSherrod Brown (D-Ohio)*","Ohio Senate","$28659987"
"PortmanRob Portman (R-Ohio) ","Ohio Senate","$26328525"
"McConnellMitch McConnell (R-Ky) ","Kentucky Senate","$26225399"
"BookerCory Booker (D-NJ) ","New Jersey Senate","$26199872"
"JonesDoug Jones (D-Ala) ","Alabama Senate","$25029181"
"SchumerCharles E Schumer (D-NY) ","New York Senate","$24078285"
"HarrisKamala D Harris (D-Calif) ","California Senate","$22756387"
"RubioMarco Rubio (R-Fla) ","Florida Senate","$22656696"
"MastoCatherine Cortez Masto (D-Nev) ","Nevada Senate","$21772595"
"KaineTim Kaine (D-Va)*","Virginia Senate","$21472986"
"CaseyBob Casey (D-Pa)*","Pennsylvania Senate","$21266619"
"MarkeyEd Markey (D-Mass) ","Massachusetts Senate","$21069088"
"TesterJon Tester (D-Mont)*","Montana Senate","$20944242"
"GillibrandKirsten Gillibrand (D-NY)*","New York Senate","$20360118"
"JohnsonRon Johnson (R-Wis) ","Wisconsin Senate","$20248897"
"HassanMaggie Hassan (D-NH) ","New Hampshire Senate","$19829218"
"CassidyBill Cassidy (R-La) ","Louisiana Senate","$19489269"
"DuckworthTammy Duckworth (D-Ill) ","Illinois Senate","$18560735"
"CornynJohn Cornyn (R-Texas) ","Texas Senate","$18542242"
"BennetMichael F Bennet (D-Colo) ","Colorado Senate","$17579297"
"StabenowDebbie Stabenow (D-Mich)*","Michigan Senate","$17570218"
"CottonTom Cotton (R-Ark) ","Arkansas Senate","$17454786"
"DonnellyJoe Donnelly (D-Ind)*","Indiana Senate","$17174180"
"WarnerMark Warner (D-Va) ","Virginia Senate","$17060003"
"PerdueDavid Perdue (R-Ga) ","Georgia Senate","$16971655"
"ShaheenJeanne Shaheen (D-NH) ","New Hampshire Senate","$16663863"
"BluntRoy Blunt (R-Mo) ","Missouri Senate","$16251752"
"FeinsteinDianne Feinstein (D-Calif)*","California Senate","$16092233"
"HellerDean Heller (R-Nev)*","Nevada Senate","$15090764"
"MurphyChristopher S Murphy (D-Conn)*","Connecticut Senate","$15032338"
"GardnerCory Gardner (R-Colo) ","Colorado Senate","$14766949"
"ErnstJoni Ernst (R-Iowa) ","Iowa Senate","$14649046"
"MerkleyJeff Merkley (D-Ore) ","Oregon Senate","$14521093"
"MurrayPatty Murray (D-Wash) ","Washington Senate","$14439587"
"ScottTim Scott (R-SC) ","South Carolina Senate","$14334118"
"TillisThom Tillis (R-NC) ","North Carolina Senate","$13919227"
"WydenRon Wyden (D-Ore) ","Oregon Senate","$13705548"
"BurrRichard Burr (R-NC) ","North Carolina Senate","$12825614"
"HollenChris Van Hollen (D-Md) ","Maryland Senate","$12498595"
"MenendezRobert Menendez (D-NJ)*","New Jersey Senate","$12271086"
"PetersGary Peters (D-Mich) ","Michigan Senate","$12233691"
"GrahamLindsey Graham (R-SC) ","South Carolina Senate","$11873431"
"SandersBernie Sanders (I-Vt)*","Vermont Senate","$11795106"
"CantwellMaria Cantwell (D-Wash)*","Washington Senate","$11667705"
"PaulRand Paul (R-Ky) ","Kentucky Senate","$11352366"
"YoungTodd Young (R-Ind) ","Indiana Senate","$11108033"
"DurbinDick Durbin (D-Ill) ","Illinois Senate","$10886840"
"SchatzBrian Schatz (D-Hawaii) ","Hawaii Senate","$10853661"
"IsaksonJohnny Isakson (R-Ga) ","Georgia Senate","$10762336"
"KlobucharAmy Klobuchar (D-Minn)*","Minnesota Senate","$10681536"
"ThuneJohn Thune (R-SD) ","South Dakota Senate","$10467075"
"GrassleyChuck Grassley (R-Iowa) ","Iowa Senate","$9883101"
"SullivanDan Sullivan (R-Alaska) ","Alaska Senate","$9525919"
"ManchinJoe Manchin (D-WVa)*","West Virginia Senate","$9375411"
"SmithTina Smith (D-Minn)*","Minnesota Senate","$9147179"
"BlumenthalRichard Blumenthal (D-Conn) ","Connecticut Senate","$9049428"
"KennedyJohn Kennedy (R-La) ","Louisiana Senate","$9029283"
"DainesSteven Daines (R-Mont) ","Montana Senate","$8854930"
"UdallTom Udall (D-NM) ","New Mexico Senate","$8687804"
"CapitoShelley Moore Capito (R-WVa) ","West Virginia Senate","$8566606"
"HeinrichMartin Heinrich (D-NM)*","New Mexico Senate","$8552893"
"SasseBen Sasse (R-Neb) ","Nebraska Senate","$8476695"
"CollinsSusan Collins (R-Maine) ","Maine Senate","$8181090"
"AlexanderLamar Alexander (R-Tenn) ","Tennessee Senate","$8031431"
"LankfordJames Lankford (R-Okla) ","Oklahoma Senate","$7870202"
"RobertsPat Roberts (R-Kan) ","Kansas Senate","$7646348"
"BarrassoJohn A Barrasso (R-Wyo)*","Wyoming Senate","$7380997"
"CrapoMike Crapo (R-Idaho) ","Idaho Senate","$6872245"
"WhitehouseSheldon Whitehouse (D-RI)*","Rhode Island Senate","$6608027"
"MoranJerry Moran (R-Kan) ","Kansas Senate","$6592336"
"WickerRoger Wicker (R-Miss)*","Mississippi Senate","$6568817"
"FischerDeb Fischer (R-Neb)*","Nebraska Senate","$6389119"
