"Representative","Office Running For","Total Raised"
"MurkowskiLisa Murkowski (R-Alaska) ","Alaska Senate","$6294040"
"RoundsMike Rounds (R-SD) ","South Dakota Senate","$6105119"
"LeeMike Lee (R-Utah) ","Utah Senate","$6048504"
"CoonsChris Coons (D-Del) ","Delaware Senate","$5872276"
"KingAngus King (I-Maine)*","Maine Senate","$5339838"
"Hyde-SmithCindy Hyde-Smith (R-Miss)*","Mississippi Senate","$5161798"
"CardinBen Cardin (D-Md)*","Maryland Senate","$5071964"
"HatchOrrin G Hatch (R-Utah)*","Utah Senate","$4988345"
"LeahyPatrick Leahy (D-Vt) ","Vermont Senate","$4940984"
"BoozmanJohn Boozman (R-Ark) ","Arkansas Senate","$4918549"
"HironoMazie K Hirono (D-Hawaii)*","Hawaii Senate","$4867005"
"FlakeJeff Flake (R-Ariz)*","Arizona Senate","$4866082"
"InhofeJames M Inhofe (R-Okla) ","Oklahoma Senate","$4646940"
"ReedJack Reed (D-RI) ","Rhode Island Senate","$4408613"
"CarperTom Carper (D-Del)*","Delaware Senate","$4262961"
"ShelbyRichard C Shelby (R-Ala) ","Alabama Senate","$4141799"
"HoevenJohn Hoeven (R-ND) ","North Dakota Senate","$3890166"
"EnziMike Enzi (R-Wyo) ","Wyoming Senate","$3614589"
"RischJames E Risch (R-Idaho) ","Idaho Senate","$2435331"
"CorkerBob Corker (R-Tenn)*","Tennessee Senate","$2361745"
"KylJon Kyl (R-Ariz) ","Arizona Senate","$0"
